,year,area,台数,車種
498,2002,大正,342.0,大型特種
499,2002,福島,11420.0,乗用車総数
500,2002,城東,18190.0,小型乗用車
501,2002,此花,12782.0,乗用車総数
502,2002,鶴見,827.0,特種用途車
503,2002,大正,3044.0,小型貨物
504,2002,平野,1288.0,特種用途車
505,2002,東住吉,860.0,特種用途車
506,2002,城東,1215.0,特種用途車
507,2002,此花,1159.0,特種用途車
508,2002,中央,637.0,特種用途車
509,2002,西,536.0,特種用途車
510,2002,港,923.0,特種用途車
511,2002,大正,783.0,特種用途車
512,2002,東淀川,4608.0,小型貨物
513,2002,都島,52.0,電気自動車総数
514,2002,平野,16694.0,軽自動車
515,2002,住之江,325.0,小型特殊自動車
516,2002,浪速,4604.0,貨物自動車総数
517,2002,西,9290.0,貨物自動車総数
518,2002,港,5993.0,貨物自動車総数
519,2002,阿倍野,2314.0,貨物自動車総数
520,2002,鶴見,6020.0,貨物自動車総数
521,2002,西淀川,404.0,大型特種
522,2002,西淀川,96.0,バス
523,2002,阿倍野,24.0,バス
524,2002,鶴見,74.0,バス
525,2002,城東,128.0,バス
526,2002,旭,36.0,バス
527,2002,生野,65.0,バス
528,2002,都島,134.0,小型特殊自動車
529,2002,旭,364.0,特種用途車
530,2002,西淀川,1307.0,特種用途車
531,2002,西成,863.0,特種用途車
532,2002,旭,839.0,小型二輪
533,2002,住吉,82.0,小型特殊自動車
534,2002,阿倍野,25597.0,自動車総数
535,2002,東淀川,1857.0,小型二輪
536,2002,東成,584.0,小型二輪
537,2002,生野,945.0,小型二輪
538,2002,城東,1505.0,小型二輪
539,2002,鶴見,810.0,小型二輪
540,2002,阿倍野,691.0,小型二輪
541,2002,西淀川,807.0,小型二輪
542,2002,淀川,1456.0,小型二輪
543,2002,浪速,442.0,小型二輪
544,2002,大正,540.0,小型二輪
545,2002,住吉,45129.0,自動車総数
546,2002,西淀川,4542.0,小型貨物
547,2002,天王寺,167.0,特種用途車
548,2002,住之江,2247.0,特種用途車
549,2002,北,639.0,特種用途車
550,2002,都島,417.0,特種用途車
551,2002,天王寺,133.0,小型特殊自動車
552,2002,福島,539.0,特種用途車
553,2002,浪速,3667.0,小型貨物
554,2002,阿倍野,316.0,特種用途車
555,2002,港,3187.0,小型貨物
556,2002,西淀川,383.0,小型特殊自動車
557,2002,北,330.0,小型特殊自動車
558,2002,西成,3371.0,小型貨物
559,2002,東成,112.0,バス
560,2002,東淀川,212.0,バス
561,2002,淀川,81.0,バス
562,2002,平野,180.0,バス
563,2002,城東,5879.0,貨物自動車総数
564,2002,福島,1635.0,小型特殊自動車
565,2002,此花,193.0,小型特殊自動車
566,2002,此花,4934.0,貨物自動車総数
567,2002,平野,9740.0,貨物自動車総数
568,2002,東住吉,6010.0,貨物自動車総数
569,2002,中央,949.0,小型二輪
570,2002,平野,27667.0,小型乗用車
571,2002,住吉,450.0,大型特種
572,2002,福島,5028.0,貨物自動車総数
573,2002,都島,3649.0,貨物自動車総数
574,2002,東淀川,201.0,大型特種
575,2002,東住吉,125.0,大型特種
576,2002,西成,657.0,小型二輪
577,2002,港,697.0,小型二輪
578,2002,西,707.0,小型二輪
579,2002,北,10085.0,貨物自動車総数
580,2002,此花,494.0,小型二輪
581,2002,浪速,21107.0,自動車総数
582,2002,住之江,10473.0,貨物自動車総数
583,2002,城東,30249.0,乗用車総数
584,2002,鶴見,23296.0,乗用車総数
585,2002,阿倍野,9.0,電気自動車総数
586,2002,天王寺,2848.0,貨物自動車総数
587,2002,鶴見,73.0,電気自動車総数
588,2002,住吉,3855.0,貨物自動車総数
589,2002,西淀川,7981.0,貨物自動車総数
590,2002,福島,3763.0,小型貨物
591,2002,中央,26881.0,乗用車総数
592,2002,港,285.0,小型特殊自動車
593,2002,此花,2549.0,小型貨物
594,2002,浪速,14.0,バス
595,2002,大正,108.0,バス
596,2002,旭,2792.0,貨物自動車総数
597,2002,生野,5797.0,貨物自動車総数
598,2002,東成,4396.0,貨物自動車総数
599,2002,港,302.0,バス
600,2002,西,35.0,バス
601,2002,中央,47.0,バス
602,2002,此花,225.0,バス
603,2002,福島,35.0,バス
604,2002,都島,18.0,バス
605,2002,北,190.0,バス
606,2002,東淀川,6229.0,貨物自動車総数
607,2002,住之江,206.0,バス
608,2002,天王寺,18.0,バス
609,2002,淀川,9038.0,貨物自動車総数
610,2002,西,451.0,小型特殊自動車
611,2002,西成,5110.0,貨物自動車総数
612,2002,住之江,915.0,大型特種
613,2002,北,160.0,大型特種
614,2002,都島,68.0,大型特種
615,2002,西成,79.0,バス
616,2002,中央,198.0,小型特殊自動車
617,2002,大正,6321.0,貨物自動車総数
618,2002,西,7458.0,小型貨物
619,2002,中央,8667.0,小型貨物
620,2002,平野,506.0,小型特殊自動車
621,2002,東住吉,612.0,小型特殊自動車
622,2002,中央,9325.0,貨物自動車総数
623,2002,西,135.0,電気自動車総数
624,2002,北,89.0,電気自動車総数
625,2002,住吉,145.0,バス
626,2002,東住吉,24.0,バス
627,2002,旭,92.0,小型特殊自動車
628,2002,淀川,257.0,小型特殊自動車
629,2002,浪速,4587.0,普通乗用車
630,2002,浪速,258.0,小型特殊自動車
631,2002,西淀川,75.0,電気自動車総数
632,2002,平野,18896.0,普通乗用車
633,2002,淀川,13797.0,普通乗用車
634,2002,平野,113.0,電気自動車総数
635,2002,福島,23096.0,自動車総数
636,2002,生野,15046.0,小型乗用車
637,2002,阿倍野,9494.0,小型乗用車
638,2002,東成,8671.0,小型乗用車
639,2002,東淀川,20624.0,小型乗用車
640,2002,淀川,22121.0,小型乗用車
641,2002,浪速,5832.0,小型乗用車
642,2002,西成,10069.0,小型乗用車
643,2002,住吉,3139.0,小型貨物
644,2002,大正,8898.0,小型乗用車
