,area,amount,name,year
301,阿倍野,1225094,個人特別徴収,2005
302,都島,2019703,個人普通徴収,2005
303,鶴見,850716,個人特別徴収,2005
304,北,12940062,個人特別徴収,2005
305,旭,2512027,個人特別徴収,2005
306,浪速,1163597,個人普通徴収,2005
307,都島,1278459,個人特別徴収,2005
308,福島,1499146,個人特別徴収,2005
309,此花,723405,個人特別徴収,2005
310,中央,13613148,個人特別徴収,2005
311,西,4739709,個人特別徴収,2005
312,港,1205725,個人特別徴収,2005
313,大正,785712,個人特別徴収,2005
314,天王寺,4057065,個人特別徴収,2005
315,浪速,1476638,個人特別徴収,2005
316,西淀川,2662007,個人特別徴収,2005
317,淀川,5529332,個人特別徴収,2005
318,東淀川,1074044,個人特別徴収,2005
319,東成,1159014,個人特別徴収,2005
320,生野,1348414,個人特別徴収,2005
321,城東,1409676,個人特別徴収,2005
322,西淀川,1110617,個人普通徴収,2005
323,中央,16370738,total,2005
324,東淀川,2762773,個人普通徴収,2005
325,浪速,2640235,total,2005
326,西淀川,3772624,total,2005
327,淀川,8490026,total,2005
328,東淀川,3836817,total,2005
329,東成,2528735,total,2005
330,生野,3592711,total,2005
331,旭,4202340,total,2005
332,城東,3924242,total,2005
333,鶴見,2559604,total,2005
334,阿倍野,4412184,total,2005
335,住之江,3274488,total,2005
336,住吉,5205603,total,2005
337,東住吉,4204901,total,2005
338,平野,4745460,total,2005
339,淀川,2960694,個人普通徴収,2005
340,天王寺,6300411,total,2005
341,大正,1602440,total,2005
342,西成,2172985,total,2005
343,西,6471145,total,2005
344,港,2265198,total,2005
345,生野,2244297,個人普通徴収,2005
346,旭,1690313,個人普通徴収,2005
347,城東,2514566,個人普通徴収,2005
348,鶴見,1708888,個人普通徴収,2005
349,阿倍野,3187090,個人普通徴収,2005
350,住之江,1669708,個人普通徴収,2005
351,東成,1369721,個人普通徴収,2005
352,東住吉,2439701,個人普通徴収,2005
353,平野,3213818,個人普通徴収,2005
354,西成,1285580,個人普通徴収,2005
355,北,15823551,total,2005
356,都島,3298162,total,2005
357,福島,2568550,total,2005
358,此花,1450753,total,2005
359,住吉,2939677,個人普通徴収,2005
360,住之江,1693782,個人特別徴収,2006
361,住吉,2777689,個人特別徴収,2006
362,東住吉,1879499,個人特別徴収,2006
363,平野,1643349,個人特別徴収,2006
364,西成,979367,個人特別徴収,2006
365,北,3087648,個人普通徴収,2006
366,都島,2110958,個人普通徴収,2006
367,港,1225234,個人普通徴収,2006
368,中央,3221611,個人普通徴収,2006
369,西,2028808,個人普通徴収,2006
370,大正,921357,個人普通徴収,2006
371,天王寺,2496736,個人普通徴収,2006
372,浪速,1308911,個人普通徴収,2006
373,阿倍野,1287482,個人特別徴収,2006
374,此花,816638,個人普通徴収,2006
375,鶴見,907138,個人特別徴収,2006
376,天王寺,4453571,個人特別徴収,2006
377,旭,2767323,個人特別徴収,2006
378,北,13713714,個人特別徴収,2006
379,都島,1371032,個人特別徴収,2006
380,福島,1606771,個人特別徴収,2006
381,此花,768466,個人特別徴収,2006
382,中央,14622193,個人特別徴収,2006
383,西,5062595,個人特別徴収,2006
384,港,1279516,個人特別徴収,2006
385,大正,891898,個人特別徴収,2006
386,西淀川,1285507,個人普通徴収,2006
387,浪速,1567750,個人特別徴収,2006
388,西淀川,2961377,個人特別徴収,2006
389,淀川,6028204,個人特別徴収,2006
390,東淀川,1176031,個人特別徴収,2006
391,東成,1251180,個人特別徴収,2006
392,生野,1453944,個人特別徴収,2006
393,城東,1504613,個人特別徴収,2006
394,淀川,3327975,個人普通徴収,2006
395,福島,1303659,個人普通徴収,2006
396,東成,1451766,個人普通徴収,2006
397,浪速,2876661,total,2006
398,西淀川,4246884,total,2006
399,淀川,9356179,total,2006
400,東淀川,4121453,total,2006
401,西成,2387995,total,2006
402,生野,3841828,total,2006
403,旭,4620612,total,2006
404,城東,4263370,total,2006
405,鶴見,2739125,total,2006
406,阿倍野,4801987,total,2006
407,住之江,3473474,total,2006
408,住吉,5985642,total,2006
409,東住吉,4522134,total,2006
410,平野,5056423,total,2006
411,東淀川,2945422,個人普通徴収,2006
412,天王寺,6950307,total,2006
413,大正,1813255,total,2006
414,東成,2702946,total,2006
415,西,7091403,total,2006
416,港,2504750,total,2006
417,旭,1853289,個人普通徴収,2006
418,城東,2758757,個人普通徴収,2006
419,鶴見,1831987,個人普通徴収,2006
420,阿倍野,3514505,個人普通徴収,2006
421,住之江,1779692,個人普通徴収,2006
422,住吉,3207953,個人普通徴収,2006
423,生野,2387884,個人普通徴収,2006
424,平野,3413074,個人普通徴収,2006
425,西成,1408628,個人普通徴収,2006
426,北,16801362,total,2006
427,都島,3481990,total,2006
428,福島,2910430,total,2006
429,此花,1585104,total,2006
430,中央,17843804,total,2006
431,東住吉,2642635,個人普通徴収,2006
432,天王寺,2534385,個人普通徴収,2007
433,住之江,2078094,個人特別徴収,2007
434,住吉,3190410,個人特別徴収,2007
435,東住吉,2151078,個人特別徴収,2007
436,平野,1907090,個人特別徴収,2007
437,西成,1168065,個人特別徴収,2007
438,北,3570450,個人普通徴収,2007
439,中央,3204781,個人普通徴収,2007
440,福島,1470874,個人普通徴収,2007
441,此花,1052894,個人普通徴収,2007
442,北,16496876,個人特別徴収,2007
443,西,2438753,個人普通徴収,2007
444,港,1518402,個人普通徴収,2007
445,大正,1150447,個人普通徴収,2007
446,都島,2367939,個人普通徴収,2007
447,阿倍野,1406175,個人特別徴収,2007
448,都島,1579710,個人特別徴収,2007
449,城東,1811464,個人特別徴収,2007
450,浪速,1550197,個人普通徴収,2007
451,福島,2024492,個人特別徴収,2007
452,此花,1042758,個人特別徴収,2007
453,中央,17400778,個人特別徴収,2007
454,西,6154227,個人特別徴収,2007
455,港,1579565,個人特別徴収,2007
456,大正,1162769,個人特別徴収,2007
457,天王寺,5250464,個人特別徴収,2007
458,浪速,1892217,個人特別徴収,2007
459,西淀川,3888395,個人特別徴収,2007
460,淀川,7727583,個人特別徴収,2007
461,東淀川,1480266,個人特別徴収,2007
462,東成,1425139,個人特別徴収,2007
463,生野,1679183,個人特別徴収,2007
464,旭,3269154,個人特別徴収,2007
465,鶴見,1073684,個人特別徴収,2007
466,西淀川,1624271,個人普通徴収,2007
467,住之江,2199121,個人普通徴収,2007
468,東淀川,3472694,個人普通徴収,2007
469,西淀川,5512666,total,2007
470,淀川,11528609,total,2007
471,東淀川,4952960,total,2007
472,東成,3070816,total,2007
473,生野,4422592,total,2007
474,旭,5311391,total,2007
475,城東,5022597,total,2007
476,鶴見,3164187,total,2007
477,阿倍野,4826663,total,2007
478,住之江,4277215,total,2007
479,住吉,6691487,total,2007
480,東住吉,5097886,total,2007
481,平野,5790274,total,2007
482,西成,2765495,total,2007
483,淀川,3801026,個人普通徴収,2007
