,バス,乗用車総数,地域,大型特種,小型乗用車,小型二輪,小型特殊自動車,小型貨物,年度,普通乗用車,普通車貨物,特種用途車,自動車総数,被けん引貨物,貨物自動車総数,軽自動車,電気小型特殊自動車,電気小型自動車,電気自動車総数
82,71,16495,西成,97,9584,631.0,178,3053,2004,6911,1533,811.0,30001,54,4640,7078,21.0,1.0,22.0
83,19,11813,天王寺,31,5871,511.0,127,2274,2004,5942,296,149.0,18903,1,2571,3682,44.0,1.0,45.0
84,120,14744,大正,337,8512,549.0,200,2904,2004,6232,2648,801.0,29023,534,6086,6186,25.0,0.0,25.0
85,331,14616,港,930,8215,728.0,289,2927,2004,6401,2158,880.0,29096,679,5764,5558,89.0,0.0,89.0
86,12,19302,西,264,10838,646.0,432,7100,2004,8464,1328,483.0,35507,322,8750,5618,137.0,4.0,141.0
87,41,27205,中央,178,16382,905.0,182,8237,2004,10823,605,483.0,44555,13,8855,6706,71.0,1.0,72.0
88,264,12661,此花,302,7282,540.0,183,2403,2004,5379,2044,1164.0,24333,290,4737,4482,17.0,0.0,17.0
89,17,11481,福島,83,6379,493.0,1627,3429,2004,5102,1124,442.0,22845,49,4602,4100,934.0,0.0,934.0
90,16,17156,都島,68,9267,796.0,131,2662,2004,7889,784,448.0,26848,3,3449,4784,52.0,1.0,53.0
91,212,25379,北,160,14796,888.0,316,8198,2004,10583,1219,597.0,44416,73,9490,7374,82.0,5.0,87.0
92,171,45506,平野,100,26500,1377.0,480,6630,2004,19006,2257,1179.0,75336,33,8920,17603,107.0,0.0,107.0
93,13,10307,浪速,199,5621,446.0,250,3275,2004,4686,835,735.0,20484,9,4119,4415,40.0,1.0,41.0
94,143,29197,住吉,448,16575,1083.0,73,2712,2004,12622,674,434.0,44189,18,3404,9407,9.0,0.0,9.0
95,26,26951,東住吉,124,15213,1036.0,597,4088,2004,11738,1273,880.0,45153,23,5384,10155,301.0,2.0,303.0
96,78,21553,西淀川,390,12318,885.0,372,4301,2005,9235,2930,1201.0,38910,186,7417,7014,69.0,1.0,70.0
97,69,16240,西成,98,9305,693.0,168,2863,2005,6935,1427,791.0,29605,50,4340,7206,19.0,1.0,20.0
98,138,28873,住吉,447,16372,1122.0,80,2475,2005,12501,602,418.0,43938,23,3100,9760,13.0,0.0,13.0
99,218,28550,住之江,885,16844,901.0,350,3929,2005,11706,3857,2005.0,52502,2617,10403,9190,200.0,3.0,203.0
100,15,17858,阿倍野,18,9052,748.0,77,1535,2005,8806,291,266.0,25672,2,1828,4862,8.0,0.0,8.0
101,55,23314,鶴見,164,13247,891.0,266,3019,2005,10067,2100,738.0,38480,49,5168,7884,46.0,0.0,46.0
102,125,30298,城東,215,17491,1571.0,295,3878,2005,12807,1098,970.0,48219,18,4994,9751,88.0,1.0,89.0
103,46,16718,旭,47,9553,904.0,89,1902,2005,7165,419,300.0,26079,4,2325,5650,22.0,0.0,22.0
104,69,24248,生野,104,13926,985.0,536,3907,2005,10322,880,636.0,42201,5,4792,10831,127.0,0.0,127.0
105,112,14760,東成,55,8203,609.0,352,3034,2005,6557,951,394.0,25854,27,4012,5560,111.0,0.0,111.0
106,176,32700,東淀川,197,19088,1799.0,169,3924,2005,13612,1168,969.0,52620,2,5094,11516,87.0,0.0,87.0
107,66,36290,淀川,38,21587,1561.0,236,6949,2005,14703,1166,670.0,57648,43,8158,10629,68.0,0.0,68.0
108,26,26782,東住吉,124,15003,1053.0,588,3676,2005,11779,1159,829.0,44560,26,4861,10297,299.0,2.0,301.0
109,12,10257,浪速,198,5523,447.0,248,3084,2005,4734,812,705.0,20357,7,3903,4587,49.0,3.0,52.0
110,17,11998,天王寺,31,5805,517.0,122,2164,2005,6193,266,154.0,18972,1,2431,3702,40.0,1.0,41.0
111,118,14577,大正,331,8292,551.0,192,2805,2005,6285,2552,810.0,28933,539,5896,6458,22.0,0.0,22.0
112,341,14407,港,927,8069,722.0,282,2820,2005,6338,2088,837.0,28963,701,5609,5838,79.0,0.0,79.0
113,10,19727,西,263,10918,701.0,435,6912,2005,8809,1252,481.0,35939,296,8460,5862,150.0,4.0,154.0
114,37,27638,中央,178,16355,935.0,175,8075,2005,11283,603,485.0,45049,13,8691,6910,69.0,0.0,69.0
115,274,12646,此花,308,7254,550.0,184,2308,2005,5392,1898,1127.0,24213,302,4508,4616,29.0,0.0,29.0
116,17,11668,福島,83,6377,497.0,1597,3347,2005,5291,1016,453.0,23246,53,4416,4515,911.0,0.0,911.0
117,18,17149,都島,68,9141,797.0,118,2524,2005,8008,734,420.0,26777,3,3261,4946,48.0,1.0,49.0
118,209,25295,北,160,14458,922.0,299,7828,2005,10837,1060,552.0,43837,63,8951,7449,78.0,5.0,83.0
119,174,44945,平野,100,26068,1408.0,494,6299,2005,18877,2101,1122.0,74857,40,8440,18174,117.0,0.0,117.0
120,70,15835,西成,99,9016,678.0,168,2731,2006,6819,1322,765.0,29042,45,4098,7329,21.0,0.0,31.0
121,174,44040,平野,102,25440,1398.0,503,6018,2006,18600,1962,1077.0,73976,75,8055,18627,127.0,0.0,127.0
122,209,25207,北,159,14190,922.0,284,7633,2006,11017,1021,522.0,43605,63,8717,7585,82.0,5.0,87.0
123,14,17019,都島,68,9022,810.0,115,2391,2006,7997,650,395.0,26646,2,3043,5182,47.0,0.0,47.0
124,24,26322,東住吉,124,14694,1012.0,584,3475,2006,11628,1096,809.0,44018,27,4598,10545,298.0,2.0,300.0
125,149,28302,住吉,447,16026,1113.0,77,2296,2006,12276,551,392.0,43225,24,2871,9874,13.0,0.0,13.0
126,214,27987,住之江,882,16438,902.0,316,3831,2006,11549,3812,1893.0,52194,2738,10381,9619,166.0,1.0,167.0
127,14,17790,阿倍野,18,8938,748.0,78,1464,2006,8852,250,256.0,25530,2,1716,4910,8.0,0.0,8.0
