,area,total,-15,15-64,65-,-15(%),15-64(%),65-(%),year
31,港,87262.0,11246.0,61333.0,14652.0,12.887625770667643,70.28603515848823,16.79081387087163,2000
32,大正,75042.0,9599.0,52295.0,13146.0,12.791503424748807,69.68764158737774,17.51818981370433,2000
33,天王寺,58812.0,7904.0,40766.0,9942.0,13.4394341290893,69.31578589403523,16.904713323811468,2000
34,浪速,50188.0,3902.0,37427.0,8621.0,7.774766876544194,74.57360325177333,17.177412927393,2000
35,西淀川,92465.0,12617.0,64554.0,15156.0,13.645163034661763,69.81452441464337,16.39106689017466,2000
36,淀川,163370.0,18096.0,120366.0,24809.0,11.07669706800514,73.67692966884985,15.185774622023626,2000
37,東淀川,183888.0,23860.0,134832.0,24994.0,12.975289306534412,73.32289219524928,13.591969024623685,2000
38,東成,78580.0,9300.0,53985.0,15061.0,11.83507253754136,68.70068719776025,19.166454568592517,2000
39,生野,142743.0,17835.0,95879.0,28783.0,12.494483091990501,67.16896800543634,20.164211204752597,2000
40,旭,99231.0,11511.0,67637.0,20047.0,11.600205580917255,68.16115931513338,20.202356118551663,2000
41,城東,157936.0,20696.0,110702.0,26275.0,13.104042143653125,70.09294904265019,16.636485665079526,2000
42,鶴見,101971.0,17057.0,70808.0,14093.0,16.727304821959184,69.4393504035461,13.820596051818654,2000
43,阿倍野,103973.0,12767.0,69735.0,21269.0,12.279149394554354,67.07029709636156,20.45627230146288,2000
44,住之江,135437.0,19895.0,95928.0,19409.0,14.689486624777572,70.82850328935224,14.330648198055185,2000
45,住吉,161047.0,21542.0,110962.0,28535.0,13.376219364533334,68.90038311797177,17.7184300235335,2000
46,東住吉,139593.0,17948.0,94426.0,26987.0,12.85737823529833,67.64379302687098,19.33263129240005,2000
47,平野,201722.0,31225.0,139487.0,30970.0,15.47922388237277,69.14813456142612,15.352812286215684,2000
48,西成,136813.0,11925.0,92666.0,31797.0,8.716276961984606,67.73186758568265,23.241212457880465,2000
49,大阪市,2598774.0,327851.0,1822803.0,444740.0,12.615602587989565,70.14088181581008,17.11345426728142,2000
50,北,100385.0,8688.0,70786.0,17653.0,8.654679483986651,70.51451910145938,17.58529660805897,2005
51,都島,99831.0,11631.0,70065.0,17974.0,11.650689665534754,70.18361030140939,18.004427482445333,2005
52,福島,60959.0,6869.0,41919.0,11424.0,11.268229465706458,68.7658918289342,18.740464902639477,2005
53,此花,63809.0,8183.0,41755.0,13622.0,12.824209750975568,65.43747747183,21.348085693240765,2005
54,中央,66818.0,5071.0,49479.0,12181.0,7.589272351761502,74.0504055793349,18.23011763297315,2005
55,西,72591.0,6695.0,44946.0,10553.0,9.222906420906172,61.91676654130678,14.537614855836123,2005
56,港,83191.0,10281.0,55569.0,17209.0,12.358307990047,66.79688908655984,20.686131913307932,2005
57,大正,73207.0,9176.0,48676.0,15330.0,12.53432048847788,66.49090933927083,20.940620432472304,2005
58,天王寺,64137.0,8140.0,44419.0,11387.0,12.691582082105493,69.25643544288008,17.75418245318615,2005
59,浪速,54174.0,3494.0,37094.0,10734.0,6.449588363421567,68.47196071916417,19.81393288293277,2005
60,西淀川,95662.0,13321.0,63586.0,17994.0,13.925069515586125,66.46944450251928,18.809976793293053,2005
61,淀川,169222.0,18509.0,119919.0,29260.0,10.937703135526114,70.864899362967,17.290895982791834,2005
62,東淀川,178343.0,21422.0,125636.0,30493.0,12.01168534789703,70.44627487481986,17.097951699814402,2005
63,東成,78929.0,9353.0,51500.0,16723.0,11.84989040783489,65.24851448770413,21.18739626753158,2005
64,生野,138564.0,15744.0,86091.0,32401.0,11.362258595306141,62.13085649952369,23.383418492537743,2005
65,旭,95204.0,10873.0,61818.0,22368.0,11.420738624427546,64.93214570816352,23.494811142388976,2005
66,城東,160925.0,20892.0,107586.0,31221.0,12.982445238465123,66.85474599968929,19.400963181606336,2005
67,鶴見,107419.0,17956.0,70750.0,18167.0,16.715851013321668,65.86358093074782,16.912278088606296,2005
68,阿倍野,107354.0,13338.0,69087.0,24283.0,12.424315814967304,64.35437897050879,22.61955772491011,2005
69,住之江,130627.0,17234.0,88716.0,24470.0,13.193290820427631,67.91551516914573,18.732727537186033,2005
70,住吉,158999.0,20711.0,103258.0,34209.0,13.025868087220674,64.9425468084705,21.515229655532426,2005
71,東住吉,135016.0,16990.0,86137.0,31042.0,12.583693784440362,63.79762398530544,22.991349173431296,2005
72,平野,200678.0,30680.0,129243.0,40394.0,15.288173093214006,64.40317324270723,20.128763491762925,2005
73,西成,132767.0,9892.0,81816.0,38600.0,7.450646621524927,61.62374686480827,29.07348964727681,2005
74,大阪市,2628811.0,315143.0,1749851.0,529692.0,11.988043263665588,66.56435171642237,20.149489636189134,2005
75,北,110392.0,9077.0,78636.0,20032.0,8.222516124356838,71.23342271179071,18.14624248133923,2010
76,都島,102632.0,11617.0,69011.0,20718.0,11.31908176786967,67.2412113181074,20.186686413594202,2010
77,福島,67290.0,7611.0,46011.0,12785.0,11.310744538564423,68.37717342844405,18.9998513895081,2010
78,此花,65569.0,7961.0,41950.0,15545.0,12.141408287452911,63.97840442892221,23.707849746069027,2010
79,中央,78687.0,6129.0,59337.0,13215.0,7.789088413588013,75.40889854740935,16.794387891265394,2010
80,西,83058.0,8597.0,61864.0,12585.0,10.350598377037732,74.4828914734282,15.152062414216571,2010
81,港,84947.0,9967.0,54559.0,19896.0,11.733198347204727,64.22710631334833,23.42166291923199,2010
82,大正,69510.0,8513.0,43058.0,17585.0,12.247158682204,61.94504387857862,25.298518198820314,2010
83,天王寺,69775.0,8588.0,46849.0,12680.0,12.30813328556073,67.14295951271946,18.172697957721244,2010
84,浪速,61745.0,3609.0,43967.0,11548.0,5.845007692930602,71.2073852133776,18.70272896590817,2010
85,西淀川,97504.0,13488.0,62777.0,20685.0,13.833278634722678,64.38402527075813,21.214514276337383,2010
86,淀川,172078.0,18256.0,117819.0,34061.0,10.609142365671381,68.46836899545555,19.793930659352156,2010
87,東淀川,176585.0,19980.0,118866.0,35775.0,11.314664325962001,67.3137582467367,20.25936517824277,2010
88,東成,80231.0,9078.0,51820.0,18577.0,11.3148284329,64.58850070421659,23.154391693983623,2010
89,生野,134009.0,14205.0,82742.0,36102.0,10.600034326052727,61.74361423486482,26.939981643023973,2010
90,旭,92455.0,10378.0,57478.0,24263.0,11.224920231463956,62.16862257314369,26.24303715320967,2010
91,城東,165832.0,21903.0,106951.0,36210.0,13.207945390515702,64.493583868011,21.83535144001158,2010
92,鶴見,111182.0,18308.0,70672.0,21539.0,16.466694249069093,63.56424601104496,19.37274019175766,2010
93,阿倍野,106350.0,12864.0,67213.0,25630.0,12.095909732016926,63.199811941701924,24.099670897978374,2010
94,住之江,127210.0,15445.0,82120.0,28911.0,12.141341089536986,64.55467337473469,22.72698687210125,2010
95,住吉,155572.0,19112.0,98097.0,37393.0,12.284987015658345,63.05569125549585,24.03581621371455,2010
96,東住吉,130724.0,15842.0,80731.0,33635.0,12.118662219638322,61.756831186316205,25.729781830421345,2010
97,平野,200005.0,28494.0,122469.0,48180.0,14.246643833904152,61.2329691757706,24.08939776505587,2010
98,西成,121972.0,9071.0,69435.0,41285.0,7.436952743252549,56.92699963926147,33.84793231233398,2010
99,大阪市,2665314.0,308093.0,1734432.0,598835.0,11.559350980785004,65.0742088924607,22.46770924551479,2010
100,北,123667.0,10533.0,85198.0,22773.0,8.51722771636734,68.89307575990361,18.414775162331097,2015
101,都島,104727.0,11901.0,66489.0,24281.0,11.36383167664499,63.48792574980664,23.18504301660508,2015
102,福島,72484.0,8470.0,48395.0,14181.0,11.685337453782903,66.76645880470173,19.564317642514208,2015
103,此花,66656.0,7894.0,40818.0,17285.0,11.84289486317811,61.23679788766203,25.931649063850216,2015
104,中央,93069.0,7952.0,69656.0,15371.0,8.5441983904415,74.84339576013495,16.51570340285165,2015
105,西,92430.0,10211.0,65514.0,14491.0,11.047279021962567,70.87958455047063,15.67781023477226,2015
106,港,82035.0,8799.0,49585.0,21692.0,10.725909672700675,60.44371304930822,26.442372158225147,2015
107,大正,65141.0,7292.0,38152.0,19548.0,11.194178781412628,58.56833637801078,30.008750249458867,2015
108,天王寺,75729.0,9523.0,49163.0,14529.0,12.57510332897569,64.91964769110908,19.185516776928257,2015
109,浪速,69766.0,4630.0,48428.0,12738.0,6.636470487056732,69.41490124129231,18.25817733566494,2015
110,西淀川,95490.0,12339.0,59469.0,23332.0,12.921771913289351,62.27772541627395,24.433972143679966,2015
111,淀川,176201.0,18139.0,115840.0,39965.0,10.294493220810324,65.74310020941992,22.68148307898366,2015
112,東淀川,175530.0,18256.0,112436.0,41124.0,10.400501338802485,64.05514726827323,23.42847376516835,2015
113,東成,80563.0,8783.0,49930.0,20316.0,10.902026985092412,61.976341496716856,25.217531621215695,2015
114,生野,130167.0,11982.0,76786.0,40621.0,9.205098066330176,58.990373904292184,31.20683429747939,2015
115,旭,91608.0,9519.0,54894.0,26834.0,10.391013885250198,59.922714173434635,29.29220155444939,2015
116,城東,164697.0,20420.0,101894.0,41082.0,12.39852577764015,61.86755071434209,24.943988050784167,2015
117,鶴見,111557.0,17298.0,69038.0,24082.0,15.505974524234247,61.88585207562054,21.587170684044928,2015
118,阿倍野,107626.0,13312.0,65949.0,27171.0,12.368758478434579,61.27608570419787,25.245758459851707,2015
119,住之江,122988.0,13479.0,73428.0,34487.0,10.959605815201483,59.703385696165476,28.040947084268385,2015
120,住吉,154239.0,18277.0,93184.0,41553.0,11.849791557258541,60.415329456233515,26.940657032268106,2015
121,東住吉,126299.0,14352.0,74568.0,36601.0,11.36351039992399,59.040847512648554,28.979643544287764,2015
122,平野,196633.0,24207.0,116351.0,53454.0,12.310751501528227,59.171654808704545,27.184653644098393,2015
123,西成,111883.0,7730.0,57633.0,41187.0,6.909003155081647,51.51184719751883,36.812563123977725,2015
124,大阪市,2691185.0,295298.0,1682798.0,668698.0,10.972787080784116,62.530000724587865,24.847715783195877,2015
